initialnode(0).
vertex(0).
vertex(1).
vertex(2).
vertex(3).
vertex(4).
vertex(5).
vertex(6).
vertex(7).
vertex(8).
vertex(9).
arc(0,1).
arc(1,0).
arc(0,2).
arc(2,0).
arc(0,3).
arc(3,0).
arc(0,4).
arc(4,0).
arc(1,2).
arc(2,1).
arc(1,3).
arc(3,1).
arc(1,4).
arc(4,1).
arc(2,3).
arc(3,2).
arc(2,4).
arc(4,2).
arc(3,4).
arc(4,3).
arc(5,6).
arc(6,5).
arc(5,7).
arc(7,5).
arc(5,8).
arc(8,5).
arc(5,9).
arc(9,5).
arc(6,7).
arc(7,6).
arc(6,8).
arc(8,6).
arc(6,9).
arc(9,6).
arc(7,8).
arc(8,7).
arc(7,9).
arc(9,7).
arc(8,9).
arc(9,8).
arc(9,4).
arc(0,5).
hc(0,5) :- not otherroute(0,5).
hc(9,4) :- not otherroute(9,4).
hc(4,3) :- not otherroute(4,3).
hc(3,4) :- not otherroute(3,4).
hc(4,2) :- not otherroute(4,2).
hc(2,4) :- not otherroute(2,4).
hc(3,2) :- not otherroute(3,2).
hc(2,3) :- not otherroute(2,3).
hc(4,1) :- not otherroute(4,1).
hc(1,4) :- not otherroute(1,4).
hc(3,1) :- not otherroute(3,1).
hc(1,3) :- not otherroute(1,3).
hc(2,1) :- not otherroute(2,1).
hc(1,2) :- not otherroute(1,2).
hc(4,0) :- not otherroute(4,0).
hc(0,4) :- not otherroute(0,4).
hc(3,0) :- not otherroute(3,0).
hc(0,3) :- not otherroute(0,3).
hc(2,0) :- not otherroute(2,0).
hc(0,2) :- not otherroute(0,2).
hc(1,0) :- not otherroute(1,0).
hc(0,1) :- not otherroute(0,1).
otherroute(0,5) :- hc(0,4).
otherroute(0,5) :- hc(0,3).
otherroute(0,5) :- hc(0,2).
otherroute(0,5) :- hc(0,1).
otherroute(4,3) :- hc(4,2).
otherroute(4,3) :- hc(4,1).
otherroute(4,3) :- hc(4,0).
otherroute(3,4) :- hc(3,2).
otherroute(3,4) :- hc(3,1).
otherroute(3,4) :- hc(3,0).
otherroute(4,2) :- hc(4,3).
otherroute(4,2) :- hc(4,1).
otherroute(4,2) :- hc(4,0).
otherroute(2,4) :- hc(2,3).
otherroute(2,4) :- hc(2,1).
otherroute(2,4) :- hc(2,0).
otherroute(3,2) :- hc(3,4).
otherroute(3,2) :- hc(3,1).
otherroute(3,2) :- hc(3,0).
otherroute(2,3) :- hc(2,4).
otherroute(2,3) :- hc(2,1).
otherroute(2,3) :- hc(2,0).
otherroute(4,1) :- hc(4,3).
otherroute(4,1) :- hc(4,2).
otherroute(4,1) :- hc(4,0).
otherroute(1,4) :- hc(1,3).
otherroute(1,4) :- hc(1,2).
otherroute(1,4) :- hc(1,0).
